logID,layerID,layerType,neuronID,activationFunction,lastValue,weights,bias
0,0,CONV,0,tanh,0.952655,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
0,0,CONV,1,tanh,0.989411,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
0,0,CONV,2,tanh,0.925905,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
0,0,CONV,3,tanh,0.720815,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
0,0,CONV,4,tanh,0.971275,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
0,1,FCL,0,SoftStep,0.00836391,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
0,1,FCL,1,SoftStep,0.00660426,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
0,1,FCL,2,SoftStep,0.0174516,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
0,1,FCL,3,SoftStep,0.00383612,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
0,1,FCL,4,SoftStep,0.0264023,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
0,1,FCL,5,SoftStep,0.00450684,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
0,1,FCL,6,SoftStep,0.00660667,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
0,2,FCL,0,ReLu,0,"[-0.0301217,-0.589282,0.487472,-0.0630817,-0.0840785,0.898312,0.488876]",-0.783441
0,2,FCL,1,ReLu,0,"[0.198096,-0.22953,0.470016,0.217933,0.14481,-0.277322,-0.69689]",-0.549791
0,2,FCL,2,ReLu,0.388387,"[-0.149693,0.605762,0.0342113,0.97998,0.503098,-0.308878,-0.662038]",0.314615
1,0,CONV,0,tanh,0.334719,"[-0.997497,0.127171,-0.613392,0.617481,0.170019]",-0.0402539
1,0,CONV,1,tanh,0.802741,"[-0.299417,0.791925,0.64568,0.49321,-0.651784]",0.717887
1,0,CONV,2,tanh,0.116756,"[0.421003,0.0270699,-0.39201,-0.970031,-0.817194]",-0.271096
1,0,CONV,3,tanh,-0.538666,"[-0.705374,-0.668203,0.97705,-0.108615,-0.761834]",-0.990661
1,0,CONV,4,tanh,0.538981,"[-0.982177,-0.24424,0.0633259,0.142369,0.203528]",0.214332
1,1,FCL,0,SoftStep,0.186958,"[-0.667531,0.32609,-0.0984222,-0.295755,-0.885922]",0.215369
1,1,FCL,1,SoftStep,0.153438,"[0.566637,0.605213,0.0397656,-0.3961,0.751945]",0.453352
1,1,FCL,2,SoftStep,0.326252,"[0.911801,0.851436,0.0787072,-0.715323,-0.0758385]",-0.529344
1,1,FCL,3,SoftStep,0.0950118,"[0.724479,-0.580798,0.559313,0.687307,0.993591]",0.99939
1,1,FCL,4,SoftStep,0.425064,"[0.222999,-0.215125,-0.467574,-0.405438,0.680288]",-0.952513
1,1,FCL,5,SoftStep,0.109866,"[-0.248268,-0.814753,0.354411,-0.88757,-0.982421]",0.83758
1,1,FCL,6,SoftStep,0.153486,"[-0.448225,-0.454207,0.175817,0.382366,0.675222]",0.452986
